Date,portfolio_return,gross_return,turnover,turnover_cost,scheduled_rebalance_flag,rebalance_flag
2003-03-31,0.0,0.0,0.0,0.0,1,1
2003-04-01,0.005851356553689418,0.005851356553689418,0.0,0.0,0,0
2003-04-02,0.009426516144836163,0.009426516144836163,0.0,0.0,0,0
2003-04-03,-0.005143324629187425,-0.005143324629187425,0.0,0.0,0,0
2003-04-04,0.0011949886499592111,0.0011949886499592111,0.0,0.0,0,0
2003-04-06,0.0,0.0,0.0,0.0,0,0
2003-04-07,0.0009943710437197654,0.0009943710437197654,0.0,0.0,0,0
2003-04-08,-0.000668229909462432,-0.000668229909462432,0.0,0.0,0,0
2003-04-09,-0.0032374845072726055,-0.0032374845072726055,0.0,0.0,0,0
2003-04-10,0.002809842396947932,0.002809842396947932,0.0,0.0,0,0
2003-04-11,-0.0018651497300907855,-0.0018651497300907855,0.0,0.0,0,0
2003-04-13,0.0,0.0,0.0,0.0,0,0
2003-04-14,0.0089339801402221,0.0089339801402221,0.0,0.0,0,0
2003-04-15,0.004413694591838265,0.004413694591838265,0.0,0.0,0,0
2003-04-16,-0.0052716692196987745,-0.0052716692196987745,0.0,0.0,0,0
2003-04-17,0.007393138832689714,0.007393138832689714,0.0,0.0,0,0
2003-04-18,-0.0003911398890182026,-0.0003911398890182026,0.0,0.0,0,0
2003-04-20,0.0,0.0,0.0,0.0,0,0
2003-04-21,0.0032008661011738537,0.0032008661011738537,0.0,0.0,0,0
2003-04-22,0.009017324957391161,0.009017324957391161,0.0,0.0,0,0
2003-04-23,0.002323200283132282,0.002323200283132282,0.0,0.0,0,0
2003-04-24,-0.0034429814927219114,-0.0034429814927219114,0.0,0.0,0,0
2003-04-25,-0.008346670178916714,-0.008346670178916714,0.0,0.0,0,0
2003-04-27,0.0,0.0,0.0,0.0,0,0
2003-04-28,0.008589533138798634,0.008589533138798634,0.0,0.0,0,0
2003-04-29,0.00018094473292848244,0.00018094473292848244,0.0,0.0,0,0
2003-04-30,0.004392506969365505,0.004392506969365505,0.0,0.0,0,0
2003-05-01,0.0033295972320068227,0.0033295972320068227,0.0,0.0,0,0
2003-05-02,0.006960847700069706,0.006960847700069706,0.0,0.0,0,0
2003-05-04,0.0,0.0,0.0,0.0,0,0
2003-05-05,0.00021836784890010398,0.00021836784890010398,0.0,0.0,0,0
2003-05-06,0.006489315239947625,0.006489315239947625,0.0,0.0,0,0
2003-05-07,-0.0027774546405642734,-0.0027774546405642734,0.0,0.0,0,0
2003-05-08,-0.0010245936536927927,-0.0010245936536927927,0.0,0.0,0,0
2003-05-09,0.007569224931628284,0.007569224931628284,0.0,0.0,0,0
2003-05-11,0.0,0.0,0.0,0.0,0,0
2003-05-12,0.008715355428313051,0.008715355428313051,0.0,0.0,0,0
2003-05-13,-0.003213006297626525,-0.003213006297626525,0.0,0.0,0,0
2003-05-14,0.0021864023199682616,0.0021864023199682616,0.0,0.0,0,0
2003-05-15,0.0033534977020008793,0.0033534977020008793,0.0,0.0,0,0
2003-05-16,0.0006135025750414443,0.0006135025750414443,0.0,0.0,0,0
2003-05-18,0.0,0.0,0.0,0.0,0,0
